"Row ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name","Segment","Country","City","State","Postal Code","Region","Category","Sub-Category","Sales","Quantity","Discount","Profit"
"1","11/9/2013","11/12/2013","Second Class","CG-12520","Claire Gute","Consumer","United States","Henderson","Kentucky","42420","South","Furniture","Bookcases","261.96","2","0","41.9136"
"2","11/9/2013","11/12/2013","Second Class","CG-12520","Claire Gute","Consumer","United States","Henderson","Kentucky","42420","South","Furniture","Chairs","731.94","3","0","219.582"
"3","6/13/2013","6/17/2013","Second Class","DV-13045","Darrin Van Huff","Corporate","United States","Los Angeles","California","90036","West","Office Supplies","Labels","14.62","2","0","6.8714"
"4","10/11/2012","10/18/2012","Standard Class","SO-20335","Sean O'Donnell","Consumer","United States","Fort Lauderdale","Florida","33311","South","Furniture","Tables","957.5775","5","0.45","-383.031"
"5","10/11/2012","10/18/2012","Standard Class","SO-20335","Sean O'Donnell","Consumer","United States","Fort Lauderdale","Florida","33311","South","Office Supplies","Storage","22.368","2","0.2","2.5164"
"6","6/9/2011","6/14/2011","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","Furniture","Furnishings","48.86","7","0","14.1694"
"7","6/9/2011","6/14/2011","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","Office Supplies","Art","7.28","4","0","1.9656"
"8","6/9/2011","6/14/2011","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","Technology","Phones","907.152","6","0.2","90.7152"
"9","6/9/2011","6/14/2011","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","Office Supplies","Binders","18.504","3","0.2","5.7825"
"10","6/9/2011","6/14/2011","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","Office Supplies","Appliances","114.9","5","0","34.47"
"11","6/9/2011","6/14/2011","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","Furniture","Tables","1706.184","9","0.2","85.3092"
"12","6/9/2011","6/14/2011","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","90032","West","Technology","Phones","911.424","4","0.2","68.3568"
"13","4/16/2014","4/21/2014","Standard Class","AA-10480","Andrew Allen","Consumer","United States","Concord","North Carolina","28027","South","Office Supplies","Paper","15.552","3","0.2","5.4432"
"14","12/6/2013","12/11/2013","Standard Class","IM-15070","Irene Maddox","Consumer","United States","Seattle","Washington","98103","West","Office Supplies","Binders","407.976","3","0.2","132.5922"
"15","11/22/2012","11/26/2012","Standard Class","HP-14815","Harold Pawlan","Home Office","United States","Fort Worth","Texas","76106","Central","Office Supplies","Appliances","68.81","5","0.8","-123.858"
"16","11/22/2012","11/26/2012","Standard Class","HP-14815","Harold Pawlan","Home Office","United States","Fort Worth","Texas","76106","Central","Office Supplies","Binders","2.544","3","0.8","-3.816"
"17","11/11/2011","11/18/2011","Standard Class","PK-19075","Pete Kriz","Consumer","United States","Madison","Wisconsin","53711","Central","Office Supplies","Storage","665.88","6","0","13.3176"
"18","5/13/2011","5/15/2011","Second Class","AG-10270","Alejandro Grove","Consumer","United States","West Jordan","Utah","84084","West","Office Supplies","Storage","55.5","2","0","9.99"
"19","8/27/2011","9/1/2011","Second Class","ZD-21925","Zuschuss Donatelli","Consumer","United States","San Francisco","California","94109","West","Office Supplies","Art","8.56","2","0","2.4824"
"20","8/27/2011","9/1/2011","Second Class","ZD-21925","Zuschuss Donatelli","Consumer","United States","San Francisco","California","94109","West","Technology","Phones","213.48","3","0.2","16.011"
"21","8/27/2011","9/1/2011","Second Class","ZD-21925","Zuschuss Donatelli","Consumer","United States","San Francisco","California","94109","West","Office Supplies","Binders","22.72","4","0.2","7.384"
"22","12/10/2013","12/14/2013","Standard Class","KB-16585","Ken Black","Corporate","United States","Fremont","Nebraska","68025","Central","Office Supplies","Art","19.46","7","0","5.0596"
"23","12/10/2013","12/14/2013","Standard Class","KB-16585","Ken Black","Corporate","United States","Fremont","Nebraska","68025","Central","Office Supplies","Appliances","60.34","7","0","15.6884"
"24","7/17/2014","7/19/2014","Second Class","SF-20065","Sandra Flanagan","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Furniture","Chairs","71.372","2","0.3","-1.0196"
"25","9/25/2012","9/30/2012","Standard Class","EB-13870","Emily Burns","Consumer","United States","Orem","Utah","84057","West","Furniture","Tables","1044.63","3","0","240.2649"
"26","1/16/2013","1/20/2013","Second Class","EH-13945","Eric Hoffmann","Consumer","United States","Los Angeles","California","90049","West","Office Supplies","Binders","11.648","2","0.2","4.2224"
"27","1/16/2013","1/20/2013","Second Class","EH-13945","Eric Hoffmann","Consumer","United States","Los Angeles","California","90049","West","Technology","Accessories","90.57","3","0","11.7741"
"28","9/17/2012","9/21/2012","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Furniture","Bookcases","3083.43","7","0.5","-1665.0522"
"29","9/17/2012","9/21/2012","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Office Supplies","Binders","9.618","2","0.7","-7.0532"
"30","9/17/2012","9/21/2012","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Furniture","Furnishings","124.2","3","0.2","15.525"
"31","9/17/2012","9/21/2012","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Office Supplies","Envelopes","3.264","2","0.2","1.1016"
"32","9/17/2012","9/21/2012","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Office Supplies","Art","86.304","6","0.2","9.7092"
"33","9/17/2012","9/21/2012","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Office Supplies","Binders","6.858","6","0.7","-5.715"
"34","9/17/2012","9/21/2012","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Office Supplies","Art","15.76","2","0.2","3.546"
"35","10/20/2014","10/24/2014","Second Class","MA-17560","Matt Abelman","Home Office","United States","Houston","Texas","77095","Central","Office Supplies","Paper","29.472","3","0.2","9.9468"
"36","12/9/2013","12/11/2013","First Class","GH-14485","Gene Hale","Corporate","United States","Richardson","Texas","75080","Central","Technology","Phones","1097.544","7","0.2","123.4737"
"37","12/9/2013","12/11/2013","First Class","GH-14485","Gene Hale","Corporate","United States","Richardson","Texas","75080","Central","Furniture","Furnishings","190.92","5","0.6","-147.963"
"38","12/27/2012","12/31/2012","Standard Class","SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas","77041","Central","Office Supplies","Envelopes","113.328","9","0.2","35.415"
